Drama-Id  Figurenname Geschlecht
x390.0	Rudolf Launhart.	-
x390.0	Berta Launhart, seine Schwester.	-
x390.0	Fanny Kettler.	-
x390.0	Karl Hetmann.	-
x390.0	Heinrich Gellinghausen.	-
x390.0	Pietro Alessandro Morosini.	-
x390.0	Walo Freiherr von Brühl.	-
x390.0	Marie, Fürstin von Sonnenburg-Hohenstein.	-
x390.0	Mrs. Mabel lsabel Grant.	-
x390.0	Fritz, Laufbursche (15 Jahre alt).	-
x390.0	Cotrelly, Kommissionsrat.	-
x390.0	Dr. Mittenbach, Untersuchungsrichter.	-
x390.0	Waldbauer, Gärtner und Hausbesitzer.	-
x390.0	Ein Polizeileutnant.	-
x390.0	Zwei Schutzleute.	-
x390.0	Ein Kriminalschutzmann.	-
qh44.0	Prof. Dr. Dufroy-Regnier, Wirklicher Geheimer Oberregierungsrat, Exzellenz, Rektor der Friedrich-Wilhelms-Universität.	-
qh44.0	Marianne, seine Tochter.	-
qh44.0	Dr. Ludwig Adrian Brodersen, sein Stiefbruder.	-
qh44.0	Prof. Dr. Georg Dorninger.	-
qh44.0	Baron Uexküll.	-
v0nx.0	Wallenstein.	-
v0nx.0	Octavio Piccolomini.	-
v0nx.0	Max Piccolomini.	-
v0nx.0	Terzky.	-
v0nx.0	Illo.	-
v0nx.0	Isolani.	-
v0nx.0	Buttler.	-
v0nx.0	Rittmeister Neumann.	-
v0nx.0	Ein Adjutant.	-
v0nx.0	Oberst Wrangel, von den Schweden gesendet.	-
v0nx.0	Gordon, Kommandant von Eger.	-
v0nx.0	Major Geraldin,	-
v0nx.0	Deveroux,	-
v0nx.0	Macdonald, Hauptleute in der Wallensteinischen Armee.	-
v0nx.0	Schwedischer Hauptmann.	-
v0nx.0	Eine Gesandtschaft von Kürassieren.	-
v0nx.0	Bürgermeister von Eger.	-
v0nx.0	Seni.	-
v0nx.0	Herzogin von Friedland.	-
v0nx.0	Gräfin Terzky.	-
v0nx.0	Thekla.	-
v0nx.0	Fräulein Neubrunn, Hofdame der Prinzessin.	-
v0nx.0	Von Rosenberg, Stallmeister der Prinzessin.	-
v0nx.0	Dragoner.	-
v0nx.0	Bediente. Pagen. Volk.	-
jn65.0	Matthias Ferner, der Kreuzweghofbauer	-
jn65.0	Crescenz,	-
jn65.0	Franz, , seine Kinder	-
jn65.0	Andreas Höllerer, der Adamshofbauer	-
jn65.0	Toni, sein Sohn	-
jn65.0	Der Großknecht	-
