tx4z.0	CARLOS	Don Carlos
tx4z.0	KÖNIGIN	Elisabeth von Valois
tx4z.0	MONDEKAR	Marquisin von Mondekar
tx4z.0	OLIVAREZ	Herzogin von Olivarez
tx4z.0	EBOLI	Prinzessin von Eboli
tx4z.0	LERMA	Graf von Lerma
tx4z.0	ALBA	Herzog von Alba
tx4z.0	HERZOG ALBA	Herzog von Alba
rjh9.0	DAS FRÄULEIN	Minna von Barnhelm
rjh9.0	VON TELLHEIM	Major von Tellheim
rjh9.0	WERNER	Paul Werner
rjmw.0	SARA	Miss Sara
rksp.0	ODOARDO GALOTTI	Odoardo
vndf.0	PRINZ	Escalus
vndf.0	WÄRTERIN	Juliens Amme
vndf.0	WÄRTRERIN	Juliens Amme
tz39.0	FRAU	Dessen Frau
tz39.0	EIN KAMMERDIENER	Ein Kammerdiener des Fürsten
npsg.0	PRIESTER	Der Oberpriester
gb-Wieland	Fürst	Escalus
wznr.0	LANGEN	Assessor Langen
wznr.0	JUSTITZRÄTHIN	Justitzräthinn Langen
wznr.0	FRANZÖSIN	Eine Französinn
wznr.0	BETTELWEIB	Ein Bettelweib
rjmw.0	DER WIRT	Der Gastwirt
rjmw.0	SIR WILLIAM	Sir William Sampson
rfxf.0	ASPERMONTE	Graf Aspermonte
rfxf.0	DER FÜRST	Konstantin
rfxf.0	FÜRST	Konstantin
wznr.0	FELDSCHEER	Ein Feldscheer
wznr.0	JUD	Ein Jud
wznr.0	OFFICIER	Ein Offizier
wznr.0	FRAU WESENERN	Frau Wesener
wznr.0	MADAME BISCHOF	Frau Bischof
wznr.0	MUTTER	Seine Mutter
wznr.0	OBRIST	Der Graf von Spannheim
wznr.0	OBRISTE	Der Graf von Spannheim
wznr.0	OBRISTER	Der Graf von Spannheim
wznr.0	JUNGER GRAF	 Ihr Sohn
r12k.0	BERKLEY	Lord Berkley
r12k.0	CAROLINE	Jenny Caroline
r12k.0	KAPITÄN	Schiffskapitän Boyet
r12k.0	KATHRIN	Lady Katharine
r12k.0	LADY KATHRIN	Lady Katharine
r12k.0	MISS CAROLINE	Jenny Caroline
r12k.0	MOHR	Ein junger Mohr
r12k.0	WIRT	Der Wirt
krf8.0	CONSTANZE	Konstanze
tz39.0	MILLERIN	Dessen Frau
qkmq.0	OBERFORSTERIN	Oberförsterin
qkmq.0	OOERFÖRSTERIN	Oberförsterin
qkmq.0	OBERFÖRSTER	Oberförster Warberger zu Weißenberg
vrdj.0	CLANDIA	Claudia
vrdj.0	CLAUDIA für sich	Claudia
vrdj.0	CLAUDIA nach links auf das Laboratorium zeigend	Claudia
vrdj.0	CLAUDIA zu Leonore	Claudia
vrdj.0	CLAUDIA zu Rosalie	Claudia
vrdj.0	CLAUDIA zu Stößel	Claudia
vrdj.0	GOTTHOLD für sich	Gotthold
vrdj.0	KOMMISSÄR	Ein Polizeikommissär
vrdj.0	KOMMISSÄR tritt etwas vor	Ein Polizeikommissär
vrdj.0	LEONORE für sich	Leonore
vrdj.0	LEONORE leise	Leonore
vrdj.0	ROSALIE ebenso	Rosalie
vrdj.0	ROSALIE für sich	Rosalie
vrdj.0	ROSALIE leise zu Leonore	Rosalie
vrdj.0	STURMWALD ruft hinterher	Sturmwald
vrdj.0	STURMWALD steht auf	Sturmwald
vrdj.0	KRAUTMANN wie vorher	Doktor Krautmann
vrdj.0	KRAUTMANN zu Claudia	Doktor Krautmann
twnw.0	KONIGINN	Königinn der Nacht
r0px.0	DIE KAMMERZOFE	Eine Kammerjungfer der Eustache
r0px.0	KIRCHENVOGT	Ein Kirchenvogt
r0n2.0	ACHILL	Achilles
r0n2.0	DIE OBERPRIESTERIN	Die Oberpriesterin der Diana
t976.0	ALTER	Das hohe Alter
t976.0	DAS ALTER	Das hohe Alter
t976.0	FIAKER	Ein Fiaker
t976.0	HASS	Der Haß
t976.0	JUGEND	Die Jugend
t976.0	NEID	Der Neid
t976.0	PAPAGEI	Ein Papagei
t976.0	SATYR	Ein Satyr
t976.0	SCHLOSSER	Ein Schlosser
t976.0	TISCHLER	Ein Tischler
t976.0	WURZEL	  Fortunatus Wurzel
t976.0	ZUFRIEDENHEIT	Die Zufriedenheit
npsg.0	DER TEMPELHÜTER	Der Hüter des Tempels
npsg.0	TEMPELHÜTER	Der Hüter des Tempels
x8hc.0	BELVEDERE	Graf von Belvedere
x8hc.0	BISCHOF	Der Bischof
x8hc.0	DER MARKGRAF	Der Markgraf von Porretta
x8hc.0	DIE MARKGRÄFIN	Die Markgräfin von Porretta
x8hc.0	GRANDISON	Sir Karl Grandison
rjh9.0	DER GRAF	Graf von Bruchsall
rjh9.0	DIE DAME	Eine Dame in Trauer
rjh9.0	DER FELDJÄGER	Ein Feldjäger
w3zd.0	DALTON	Frau Dalton
w3zd.0	DER CAPITAIN	Herr von Wohlau
w3zd.0	WOHLAU	Herr von Wohlau
k93g.0	BARONINN	Seine Gemahlinn
k93g.0	BARONNIN	Seine Gemahlinn
k93g.0	BARYON	Baron von Forstheim
k93g.0	BLUMENKRANZ	Graf von Blumenkranz
k93g.0	DER HAUPTMANN	Hauptmann von Edelsee
k93g.0	DER VERWALTER	Des Barons Verwalter
k93g.0	DIE BARONINN	Seine Gemahlin
k93g.0	HAUPMANN	Hauptmann von Edelsee
k93g.0	MAOR	Major von Rheinberg
k93g.0	NOTARIAS	Ein Notarius
k93g.0	NOTARIUS	Ein Notarius
k93g.0	REITBAHN	Graf von Reitbahn
k93g.0	VERWALTER	Des Barons Verwalter
rksp.0	APPIANI	Graf Appiani
rksp.0	DER PRINZ	Hettore Gonzaga
rksp.0	ORSINA	Gräfin Orsina
kscn.0	LEONCE	Prinz Leonce
t4rs.0	CHORPHEUS	Orpheus
t4rs.0	DIE PRIESTERINN	Die Priesterinn des Bacchus
t4rs.0	DIE PRIESTRINN	Die Priesterinn des Bacchus
x8fs.0	GARDINER	Der Bischoff Gardiner
x8fs.0	GUILFORD	Lord Guilford
x8fs.0	LADY JOHANNA	Lady Johanna Gray
x8fs.0	LORD GUILFORT	Lord Guilford
x8fs.0	NORTHUMBERLAND	Der Herzog von Northumberland
x8fs.0	SUFFOLK	Lady Suffolk
x4gj.0	AEGISH	Aegisth
x4gj.0	KÖNIGIN	Pelopia
11g1d.0	FRÄULEIN	Kammerfräulein der Adelheid
rhzq.0	GEHEIMER RAT	Herr von Berg
rhzq.0	MAJOR	Der Major
rhzq.0	MAJORIN	Die Majorin
rhzq.0	REHAAR	Herr Rehaar
rhzq.0	SEIFFENBLASE	Herr von Seiffenblase
r135.0	BLUM	Baron Blum
r135.0	GEHEIMDERAT	Der Geheimderat
r135.0	HOFMEISTER	Sein Hofmeister
r135.0	LOUIS	Graf Louis
r12v.0	CAMILLA	Gräfin Camilla
r12v.0	GALBO	Doktor Galbo
r134.0	DAME D'HONNEUR	Rosaura
r134.0	DRULLO	Graf Drullo
r134.0	GALBINO	Prinz Galbino
r134.0	HERZOGIN	Kornelia
r134.0	SOLINA	Donna Solina
wf6k.0	EMERSHOFEN	Stephan von Emershofen
wf6k.0	GUNDELFING	Georg von Gundelfingen
wf6k.0	MAXELRAINER	Wilhelm Maxelrainer
wf6k.0	PIENZENAUER	Hans Pienzenauer
wf6k.0	PREISINGER	Hans Preisinger
wf6k.0	SANDIZELLER	Ortolph Sandizeller
wf6k.0	SEIBELSTORFER	Werner Seibelstorfer
wf6k.0	THORRINGER	Kaspar der Thorringer
wf6k.0	TORE	Kaspar von Tore
wf6k.0	TUCHSENHAUSER	Oswald Tuchsenhauser
wf6k.0	ZENGER	Hans Zenger
spd6.0	HEROLD	Ein Herold
vrds.0	BAST auf einmal wieder traurig	Bast
vrds.0	BAST ebenfalls heimlich, mehr gegen Nikolo	Bast
vrds.0	BAST für, sich	Bast
vrds.0	BAST voll Wuth	Bast
vrds.0	CLÄRCHEN ALLEIN	Clärchen
vrds.0	LUKREZIA zu Bast	Lucrezia
vrds.0	NIKOLO	Nicolo
vrds.0	TRÜBE den Kopf schüttelnd für sich	Trübe
vrds.0	TRÜBE zieht ihn fort, erst allein	Trübe
vrds.0	VIRGINIA zu Nikolo	Virginia
11hdv.0	MADAME SOMMER	Cäcilie
x4vp.0	GRUNDMAN	Grundmann
x4vp.0	LANGERS	Langard
x4vp.0	LANNGERS	Langard
t25v.0	KARL	Karl Southwell
t25v.0	LUCIE	Lucie Woodvil
t25v.0	WILLHELM	Willhelm Southwell
v3mw.0	PRAATGERN	Frau Praatgern
