Textgrid-Id	Gattung(en)
s8bj.0	Drama
sj74.0	Drama
tv6f.0	Drama
stsd.0	Drama
tzgk.0	Drama
k1f7.0	Drama
mk3n.0	Drama
wzp6.0	Drama
kmdk.0	Drama
tv65.0	Drama
k1fb.0	Drama
tvcm.0	Drama
twnw.0	Drama
x3cv.0	Drama
r12v.0	Drama
tpd7.0	Drama
rjdc.0	Drama
pkhm.0	Drama
r2mv.0	Drama
vn79.0	Drama
vn60.0	Drama
r2m4.0	Drama
tpq4.0	Drama
t97f.0	Drama
tgw9.0	Drama
nfdb.0	Drama
tvc9.0	Drama
sj6g.0	Drama
vn3b.0	Drama
11g3h.0	Drama
r134.0	Drama
t8tr.0	Drama
pk02.0	Drama
v3mw.0	Drama
t96w.0	Drama
t2z2.0	Drama
wdq6.0	Drama
stst.0	Drama
tc1r.0	Drama
n750.0	Drama
n7sh.0	Drama
x90s.0	Drama
vnmx.0	Drama
ktrh.0	Drama
vnn3.0	Drama
kd4g.0	Drama
s8fh.0	Drama
vrdj.0	Drama
tx4z.0	Drama
q41n.0	Drama
nmg0.0	Drama
kv4f.0	Drama
11g9w.0	Drama
mv7f.0	Drama
ns9c.0	Drama
stt4.0	Drama
kmq3.0	Drama
vn11.0	Drama
qfxf.0	Drama
jnhh.0	Drama
nvk1.0	Drama
str8.0	Drama
qd2g.0	Drama
rksp.0	Drama
vn3t.0	Drama
pkj2.0	Drama
s4hw.0	Drama
x3f6.0	Drama
wpvj.0	Drama
wcbf.0	Drama
w3x0.0	Drama
11gtp.0	Drama
tvdq.0	Drama
qkps.0	Drama
strd.0	Drama
kw8v.0	Drama
ndtw.0	Drama
kmf9.0	Drama
pkhh.0	Drama
x9rp.0	Drama
kjgv.0	Drama
kq6k.0	Drama
k936.0	Drama
11g9q.0	Drama
11d11.0	Drama
r121.0	Drama
wzgs.0	Drama
np3s.0	Drama
wz0s.0	Drama
11f7n.0	Drama
trwt.0	Drama
spgf.0	Drama
krfj.0	Drama
vpv1.0	Drama
wfsd.0	Drama
rdg3.0	Drama
qkmw.0	Drama
kd58.0	Drama
rfc7.0	Drama
x37q.0	Drama
pkhc.0	Drama
n2m1.0	Drama
stqr.0	Drama
x3bs.0	Drama
x34j.0	Drama
pkh4.0	Drama
qzz7.0	Drama
tv6t.0	Drama
vkgr.0	Drama
pmtc.0	Drama
t9ps.0	Drama
w3vd.0	Drama
w3z2.0	Drama
11h60.0	Drama
wzp1.0	Drama
11g1d.0	Drama
spd6.0	Drama
rfct.0	Drama
x8mw.0	Drama
t9qh.0	Drama
n2kq.0	Drama
kd4v.0	Drama
pmj9.0	Drama
x82c.0	Drama
rfm5.0	Drama
k77x.0	Drama
vncw.0	Drama
pk6x.0	Drama
nmfv.0	Drama
mgfk.0	Drama
pkjk.0	Drama
v186.0	Drama
rfbt.0	Drama
w407.0	Drama
jn6r.0	Drama
r1hd.0	Drama
pmgg.0	Drama
tvg7.0	Drama
nmg5.0	Drama
x390.0	Drama
p87j.0	Drama
v3rz.0	Drama
v3qp.0	Drama
v3t6.0	Drama
s4jp.0	Drama
s4nb.0	Drama
qh44.0	Drama
jkjb.0	Drama
pkj1.0	Drama
qmt7.0	Drama
knb2.0	Drama
x90t.0	Drama
kmdh.0	Drama
kd4r.0	Drama
kq0s.0	Drama
11f78.0	Drama
mvrv.0	Drama
tftj.0	Drama
ksbx.0	Drama
qdnz.0	Drama
k59h.0	Drama
n3dj.0	Drama
x4vq.0	Drama
x400.0	Drama
kmdp.0	Drama
v1sm.0	Drama
sjhr.0	Drama
svt2.0	Drama
pn2n.0	Drama
kmff.0	Drama
strh.0	Drama
w3zd.0	Drama
vmvc.0	Drama
rfxf.0	Drama
s8br.0	Drama
tz39.0	Drama
nmfs.0	Drama
nmf9.0	Drama
tgw6.0	Drama
x8hc.0	Drama
s8fd.0	Drama
vnj5.0	Drama
vn3v.0	Drama
vnf1.0	Drama
vmw8.0	Drama
vn0c.0	Drama
vnh9.0	Drama
vn59.0	Drama
vnjn.0	Drama
vnfz.0	Drama
tg37.0	Drama
x3b4.0	Drama
vpvd.0	Drama
nttc.0	Drama
vmw0.0	Drama
vnfd.0	Drama
x480.0	Drama
ssrb.0	Drama
v3sw.0	Drama
w3xb.0	Drama
sj6r.0	Drama
pm1c.0	Drama
t9p7.0	Drama
t9qj.0	Drama
tv6h.0	Drama
x8fs.0	Drama
wdfd.0	Drama
v3s3.0	Drama
p878.0	Drama
kscn.0	Drama
pj26.0	Drama
ntqj.0	Drama
v3vb.0	Drama
vnd5.0	Drama
wzpz.0	Drama
wc9q.0	Drama
t25v.0	Drama
tq2b.0	Drama
wp6p.0	Drama
k1ff.0	Drama
vn2s.0	Drama
pgpm.0	Drama
wc0g.0	Drama
pb4c.0	Drama
x8cf.0	Drama
ktsm.0	Drama
pkx0.0	Drama
twt3.0	Drama
pj27.0	Drama
k4xx.0	Drama
tbf2.0	Drama
x4c3.0	Drama
vnbs.0	Drama
nkdm.0	Drama
mvrr.0	Drama
rfmj.0	Drama
rfbx.0	Drama
v18g.0	Drama
r2mf.0	Drama
qkp2.0	Drama
rjh9.0	Drama
rjmw.0	Drama
t96r.0	Drama
mhq8.0	Drama
rfcv.0	Drama
wcj0.0	Drama
vrcn.0	Drama
x37n.0	Drama
pkhv.0	Drama
nmfn.0	Drama
